Taxa	GHmode	Det_scr	Earliest_Year_CDBN	BM	BR	CB	CM	CT	DF	DM	EV	GH	HB	HI	LG	PH	RR	RU	SA	SF	SW	SY	WM	ZN	SY_rmout	PH_rmout	BR_log	CM_log	EV_log	ZN_log	RR_log	WM_log	SW_log1	SW_log2	SW_log3
CDBN_020_CPC_00247	1	1	2004	-897.211725690305	NA	NA	NA	NA	-4.29772856060037	-3.43606621550298	-0.0299285070422802	-1.0005801670116	NA	-0.911581941946852	-0.891164426559794	-4.42546067574452	NA	NA	0.0680194248296893	0.814225213649457	188.01070282884	-570.025925562541	NA	NA	-570.025925562541	-4.42546067574452	NA	NA	0	NA	NA	NA	0	0	1
CDBN_302_Desert_Rose	3	2	2005	-78.6948955437837	NA	NA	NA	NA	-1.52389891560273	-3.03857838339669	-0.0303168809726547	0.391117965861542	NA	6.86984203966354	0.140867886331921	-0.658275673038027	NA	NA	0.0486633530078865	-1.75744950848689	-5.53122317504253	354.892281584614	NA	-1.85299312670327	354.892281584614	-0.658275673038027	NA	NA	0	0	NA	NA	0	1	0
CDBN_078_Mogul	1	1	2005	-921.612187324674	NA	NA	NA	NA	-2.42325058470866	1.68436954787418	-0.165829957085205	-1.10676120764706	NA	-5.87978248857091	-0.752149297467468	-2.99774025722714	NA	NA	0.00912654587931908	3.77172669996183	141.269948814311	-700.826179845381	NA	NA	-700.826179845381	-2.99774025722714	NA	NA	0	NA	NA	NA	0	0	1
CDBN_165_Redhawk	1	1	1998	-695.038530205353	0.107622486855946	-0.0958864857565697	-0.102079004657223	0.0369001658993656	-2.58310944853019	-1.20370160598656	-0.115671306372986	-1.05937440866239	NA	-4.31461770525581	-0.939415001978832	-2.88796011378821	0.514925528294137	-1.78182674203733	-0.0423528261302218	1.71995790096301	133.54321437224	-656.103428065538	-1.14513008647587	-1.43001745449897	-656.103428065538	-2.88796011378821	1	0	0	0	1	0	0	0	1
CDBN_158_SilverCloud	1	1	2005	-523.462801659413	NA	NA	NA	NA	-1.11105374721024	2.97608692266239	-0.20946048719993	-1.1535427132827	NA	-6.72916242090369	-0.979525896794815	-1.44891500200278	NA	NA	0.035642619291463	4.24916104414601	209.297599571552	-635.851563708266	NA	NA	-635.851563708266	-1.44891500200278	NA	NA	0	NA	NA	NA	0	0	1
CDBN_094_UCD_9830	1	1	2002	-312.752432442861	NA	NA	NA	NA	-0.0476479458598415	6.52044193808487	-0.0651683459193299	-1.16456682078684	NA	-4.58454081670596	-0.830754785690768	-1.37670962492319	NA	NA	-0.00795774094104062	4.56029730677724	139.615509396481	-423.673354384564	NA	NA	-423.673354384564	-1.37670962492319	NA	NA	0	NA	NA	NA	0	0	1
CDBN_082_UIP7_24P_1P	3	2	2005	226.75336711755	NA	NA	NA	NA	-0.179356050875236	0.422221747505706	-0.118286884119508	0.677600313650208	NA	3.39589862296337	0.510766888448621	-0.327891659824872	NA	NA	-0.0137561863049722	-0.0647716847758153	14.7626433426486	431.179329844726	NA	NA	431.179329844726	-0.327891659824872	NA	NA	0	NA	NA	NA	0	1	0
CDBN_223_USPT_ANT_1	3	2	2005	152.134005555445	NA	NA	NA	NA	2.89494267362345	3.18112892357051	-0.113571568923298	0.494538547650849	NA	-0.456690910853012	0.420103565250593	2.77488327181228	NA	NA	-0.0529718766697988	-0.371818240305793	10.6282563121451	130.285269554873	NA	NA	130.285269554873	2.77488327181228	NA	NA	0	NA	NA	NA	0	1	0
CDBN_245_Bighorn	3	2	2004	231.008655697818	NA	NA	NA	NA	-0.881860742573231	2.63985668460728	-0.0773524757492692	0.358013810179056	NA	0.904182305761196	0.246293469841149	0.713659482463326	NA	NA	-0.0649425558398447	2.23949195721448	63.0791327617135	218.527564032584	NA	NA	218.527564032584	0.713659482463326	NA	NA	0	NA	NA	NA	0	1	0
CDBN_324_NW63	3	2	1989	324.506653683379	-0.327360499845687	-0.0958650302592558	0.078664970387057	-0.165507988305128	-2.60768724029958	-0.44535113890013	-0.189595214749351	0.742482761127879	0.491853855650457	5.01826383896895	0.853723046171449	-2.38552313223495	-0.0469305837278726	3.95288793542146	-0.12276131910383	1.68962702634599	-3.94878385964234	318.82474305567	0.968090088740847	-0.908029553992113	318.82474305567	-2.38552313223495	0	1	0	0	0	1	0	1	0
CDBN_224_USPT_CBB_1	3	2	2002	30.260082776898	NA	NA	NA	-0.120613097031229	-2.02587596090532	-4.63627397659765	-0.183570904619459	0.427383353580159	NA	2.19548314064252	0.0753212543254297	-0.832108935703295	NA	NA	-0.0190561985743854	-2.6558403514006	22.9245971654946	235.006290595106	NA	-2.12729750164518	235.006290595106	-0.832108935703295	NA	NA	0	0	NA	NA	0	1	0
CDBN_087_USWA_70	1	1	1998	-120.049241265911	0.0866050480684959	-0.0544983893807229	-0.0713962879735719	NA	-1.08364518664662	4.43611543854283	-0.0634275679992404	-1.066726875973	NA	-7.80751212470571	-0.872448899768224	0.407422153023318	0.731872732758324	-1.9449283002047	0.0617168872266628	5.13966474820234	232.730879777124	-699.99242883701	-1.18771735464966	-1.32208405355418	-699.99242883701	0.407422153023318	1	0	0	0	1	0	0	0	1
CDBN_275_Burke	3	2	1997	-191.816451404603	NA	0.26028127587667	NA	NA	-1.46507847411929	-2.59270132768909	-0.186415050872054	0.828909286774845	0.406316048629694	5.20148004087846	0.539867477030492	6.76565796257337	NA	1.21218145736806	-0.0454666712368346	-0.72531092022831	44.3434936848514	202.14191426672	0.201471673546642	-2.03989778545271	202.14191426672	6.76565796257337	NA	NA	0	0	NA	1	0	1	0
CDBN_170_Cardinal	1	1	1992	-1132.33269055979	-0.000810994608327574	-0.303180808236924	-0.0201013211686704	0.0351693300164356	-3.14240186627676	-0.647935913940835	-0.0662896438588728	-0.890046376307916	-0.268012214784638	-2.37590798831321	-0.425064803484994	-4.3695767227508	0.597442914260268	-1.55740481352081	0.0302798678992275	2.08458176314695	208.997196121582	-667.306371332076	-1.10977813254961	0.874220210144	-667.306371332076	-4.3695767227508	0	0	0	1	1	0	0	0	1
CDBN_121_Comet	2	2	2003	-105.427798411989	NA	NA	NA	NA	1.43519856990028	1.55270348036791	0.150845766272123	-0.0724639647374863	NA	-3.6261515509149	-0.321689925730728	-0.0898443886891422	NA	NA	-0.0506308675585804	0.454810171136391	-67.325898166275	-98.9227808113598	NA	-2.04960790808356	-98.9227808113598	-0.0898443886891422	NA	NA	1	0	NA	NA	0	1	0
CDBN_026_Frigate	2	2	2001	623.254806650128	0.265217786852657	NA	-0.122332465137385	NA	-0.359329694465368	2.50356462605578	0.315275899633553	0.086749512899668	NA	-2.1064836219252	-0.307747682204009	7.25788050587957	NA	NA	-0.0343799529170417	2.94748792852691	-129.904041455426	105.853336262878	-0.259410962983595	2.84710624437699	105.853336262878	7.25788050587957	1	0	1	1	NA	1	1	0	0
CDBN_196_LeBaron	2	2	1998	-718.883652758515	NA	0.203740159372994	NA	-0.0622757256806365	-3.40477575916405	-8.63842659458803	-0.172876453572239	0.17622687483563	0.0807433180645528	6.61844020771637	0.136422969617368	-5.21114023169786	NA	4.56936269447461	-0.0193508576833088	-4.71170987184004	32.6308838995004	76.9494247747217	NA	-1.78521624167226	76.9494247747217	-5.21114023169786	NA	NA	0	0	NA	NA	0	1	0
CDBN_208_Roza	3	2	2003	150.089692597212	NA	NA	NA	NA	1.16892298466217	-1.18189313204911	-0.363516979791439	0.634134015868843	NA	1.88956681583587	1.00908272605776	1.90731645622654	NA	NA	-0.0683552000748389	0.954266534641977	2.03150501387644	329.905767499855	NA	-2.0236305664463	329.905767499855	1.90731645622654	NA	NA	0	0	NA	NA	0	1	0
CDBN_234_UC_BTS_96114	2	2	2003	799.483282644365	NA	NA	NA	NA	3.60814464145908	4.29961295915407	0.376235301556225	-0.191049663148987	NA	1.07176376005436	-0.28361006797967	3.43796309512092	NA	NA	0.0201554336899911	0.300003225050503	-141.991450856365	172.184282362207	NA	4.00531892141752	172.184282362207	3.43796309512092	NA	NA	1	1	NA	NA	1	0	0
CDBN_316_UI911	2	2	1994	476.639760679228	NA	-0.153287728306819	NA	0.0704986922765967	0.64521537830368	0.493479954403381	0.216808734397047	0.0887803956362031	-0.215888767763621	-0.125839770735593	-0.15069364462422	0.262389099231901	-0.381938168157499	-1.15651326525456	-0.0159734762952451	0.705853598698418	-133.549716968172	70.4799544611588	-0.04353733152057	-1.51592978088453	70.4799544611588	0.262389099231901	NA	NA	1	0	0	1	1	0	0
CDBN_084_USPT_7_3	3	2	1998	-159.980958185392	NA	0.253722564144527	NA	-0.0768878246567175	-1.50630790905647	-3.53250132266592	0.00102562981628732	0.577961433830009	NA	5.18675289550146	0.549709396615435	0.789644564585952	NA	NA	-0.13032772244868	-1.71722980954888	67.4536240536019	333.602258877548	NA	-1.89196302724371	333.602258877548	0.789644564585952	NA	NA	0	0	NA	NA	0	1	0
CDBN_011_93_208G	3	2	2001	46.2788320261759	0.119620337458165	0.482291693335458	-0.0393549883516202	-0.070639277154671	-1.01854146874349	-0.540058790221874	-0.150106952681267	0.506055474576853	NA	5.51031291097596	0.680699930649148	2.10141448110516	NA	NA	-0.0426818337659702	0.318392213058278	33.0977830777001	300.491199083073	0.0579191338392439	-1.87537211508955	300.491199083073	2.10141448110516	1	0	0	0	NA	1	0	1	0
CDBN_016_98_209G	3	2	2001	120.516090338636	-0.279962488386226	-0.177581077704435	0.120130376997573	-0.0388778342688129	-0.565126713933566	-2.31998651887672	-0.146483112210146	0.638150479940631	NA	5.76808178971237	1.12993976073105	-5.73860522764644	NA	NA	-0.00738564023797997	-1.34733530306174	35.1847914808835	444.318072247452	0.572196905593122	0.00452850281980813	444.318072247452	-5.73860522764644	0	1	0	0	NA	1	0	1	0
CDBN_089_Claret	2	2	2000	-179.41265957027	-0.206611775426379	-0.131651278768523	0.112245957615496	-0.00584354858992468	-1.24866543445133	-4.31945690208794	-0.0847762704030754	-0.026056106712183	NA	1.14870154661849	-1.06125672804823	-2.3072826033884	-0.256501340575684	-1.98788720939198	0.0693945190552937	-3.46857906654283	16.9272349328475	-151.696067692804	0.355135154315953	0.00224289141681685	-151.696067692804	-2.3072826033884	0	1	0	0	0	1	0	1	0
CDBN_123_Fiero	1	1	1997	-388.252146661986	NA	-0.191496170566721	NA	0.0118153040124353	-1.55813380265294	3.83733548000496	-0.110258964186946	-0.792922948652733	NA	-5.06313579734886	-0.863523279298511	-4.82013423328811	NA	-1.06920352613577	-0.00308307001007264	5.15355118896204	190.293727541995	-419.227903284152	-1.00362191821061	NA	-419.227903284152	-4.82013423328811	NA	NA	0	NA	NA	0	0	0	1
CDBN_263_Grand_Mesa	3	2	2002	216.174152544159	-0.318146312514305	0.410732358650495	0.145857947791164	-0.103140104483082	0.397047395166181	-1.62118721145465	-0.236348227048982	0.535133014954858	NA	2.6820171331942	0.694498860705516	0.439210085207959	NA	NA	-0.01601193252176	-1.96529462664592	7.6480563652138	218.987086605083	0.471820692369686	-0.924505279957549	218.987086605083	0.439210085207959	0	1	0	0	NA	1	0	1	0
