Taxa	SY	SW	HB	RU	SA	WM	BR	CB	CM	CT	EV	GH	PH	BM	DF	DM	HI	LG	SF
74	CDBN_279_Cran09	-1163.5793092439	103.590117842112	-0.478240577187651	-2.04360399383819	NA	0.426988032439801	-0.345297783818418	0.795047807014457	0.161459610037604	0.0958895239361019	NA	-1.39076606234618	-6.94065931531422	-1147.97090750412	-0.912201484834203	-4.45383365995385	-1.50396338368316	-0.26103514354784	-2.32838854543382
75	CDBN_278_Chinook2000	-1276.17245220964	110.222318025018	NA	NA	0.715592146667785	-1.20477641939209	0.449075342191368	1.7880571623615	-0.0770902627495116	NA	-0.409932776773742	-1.76846727332916	1.40046105298519	-158.399509568058	-4.20596527611872	2.08541180294341	-2.90978346426839	-0.887191725819078	7.77729954970039
76	CDBN_277_AC_Mast	-810.433668828146	-180.596107170075	NA	NA	0.540821248144599	NA	0.386325104033981	-1.21194283763848	-0.149220078288009	NA	1.11658942683856	-0.567527488275074	4.66353768139968	197.712621414085	-1.15345217760603	3.72110443424488	-1.70357360046514	-0.225163070885262	6.67400443095272
77	CDBN_276_JM24	-399.249105188499	-48.5600539530001	1.31963920437896	NA	1.3317081079565	2.06404444882658	0.0537808958316559	2.43061670752991	0.20544840834548	-0.732437139510932	NA	-0.424437248753688	6.55718722144155	305.8271685375	0.0232737946259134	1.25085863383353	5.6058359423462	-0.0170732065862637	3.52134388839513
78	CDBN_275_Burke	-469.400261317841	-12.1464396192746	2.11759700624634	-2.08607500111661	0.185171799923737	0.504552629510824	NA	2.30264012139144	NA	NA	-0.324177378658196	0.164307245421088	13.8609648408507	-223.955297820269	-2.24662776685007	-2.22799126053032	6.6834722144172	0.465016302730985	1.77688576409729
79	CDBN_274_Viva	-333.001016895514	-112.767595526132	-0.221068363486041	1.08941032937464	0.397581637976874	2.25094978372524	-0.365398580640791	0.97773231896445	0.337256522700354	-0.574165898083828	-0.966509295235266	-0.502938915470545	-2.66047050035601	582.092095436474	-2.0466240372759	-0.0944014469727301	3.92574303501046	0.995125663999159	2.75038127506145
80	CDBN_273_Vista	-689.124280069358	-197.094263813837	-0.352961382711422	-3.6729519557085	0.783167762445955	0.407582849707211	0.0518887791864656	-0.578942920219592	0.0421846736440458	0.0108761362746018	NA	-0.759614832365638	7.44921819674887	1217.90477289596	4.02774590420075	4.75853884203858	-7.19952717968652	-0.469282996415054	2.08913206774715
81	CDBN_272_Kimberly	-217.211546879708	-38.6998859843768	NA	-0.471061276899496	0.465699915172977	NA	NA	NA	NA	NA	0.471586262583336	0.00705791824131089	0.686809002879243	464.269503828591	-0.417872520493961	0.439367323966041	0.659049534990787	0.369419117570826	2.09076217074236
82	CDBN_271_Jaguar	-633.193348918628	-197.388115489971	NA	NA	0.743520589595635	NA	NA	-1.21194283763847	NA	NA	1.09006722322624	-0.956977451823429	0.814438422824232	410.681915657138	3.63437919246814	2.43192514846815	2.21164335644074	-1.62451049102718	0.475499997501202
83	CDBN_270_Jackpot	-624.547157901409	-12.5758304242896	NA	-1.31203309649017	0.458959366283671	NA	NA	2.44923293117967	NA	NA	-0.550435587055422	-0.0603568940381357	-2.76770644991303	-375.406646112166	-0.299887321038072	-5.48907715968722	-1.45987282895109	0.0305754171554092	-3.65740085196192
